# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0200
# amplitude_cm   : 2.0
# n_waves        : 4
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 600
# arc_length_m   : 1.70465
# arc_length_cm  : 170.465
t,x_m,y_m,arc_length_m
0.6360601,0.5905145,-0.0898103,1.0842975
0.6377295,0.5903471,-0.0876074,1.0865067
0.6393990,0.5901826,-0.0854033,1.0887169
0.6410684,0.5900217,-0.0831965,1.0909296
0.6427379,0.5898652,-0.0809857,1.0931459
0.6444073,0.5897138,-0.0787697,1.0953671
0.6460768,0.5895681,-0.0765470,1.0975945
0.6477462,0.5894287,-0.0743165,1.0998294
0.6494157,0.5892962,-0.0720767,1.1020731
0.6510851,0.5891711,-0.0698264,1.1043268
0.6527546,0.5890539,-0.0675644,1.1065919
0.6544240,0.5889450,-0.0652894,1.1088695
0.6560935,0.5888447,-0.0630002,1.1111610
0.6577629,0.5887535,-0.0606955,1.1134674
0.6594324,0.5886716,-0.0583743,1.1157901
0.6611018,0.5885992,-0.0560354,1.1181301
0.6627713,0.5885366,-0.0536776,1.1204887
0.6644407,0.5884839,-0.0513000,1.1228669
0.6661102,0.5884412,-0.0489015,1.1252657
0.6677796,0.5884086,-0.0464812,1.1276863
0.6694491,0.5883861,-0.0440381,1.1301295
0.6711185,0.5883738,-0.0415712,1.1325964
0.6727880,0.5883714,-0.0390799,1.1350878
0.6744574,0.5883790,-0.0365631,1.1376045
0.6761269,0.5883963,-0.0340204,1.1401473
0.6777963,0.5884232,-0.0314508,1.1427170
0.6794658,0.5884595,-0.0288539,1.1453142
0.6811352,0.5885049,-0.0262289,1.1479396
0.6828047,0.5885591,-0.0235755,1.1505936
0.6844741,0.5886217,-0.0208931,1.1532767
0.6861436,0.5886924,-0.0181813,1.1559894
0.6878130,0.5887708,-0.0154398,1.1587321
0.6894825,0.5888563,-0.0126682,1.1615049
0.6911519,0.5889486,-0.0098665,1.1643082
0.6928214,0.5890471,-0.0070343,1.1671421
0.6944908,0.5891513,-0.0041716,1.1700066
0.6961603,0.5892606,-0.0012785,1.1729019
0.6978297,0.5893745,0.0016452,1.1758278
0.6994992,0.5894922,0.0045993,1.1787842
0.7011686,0.5896132,0.0075836,1.1817710
0.7028381,0.5897368,0.0105980,1.1847879
0.7045075,0.5898623,0.0136421,1.1878346
0.7061770,0.5899890,0.0167156,1.1909107
0.7078464,0.5901162,0.0198181,1.1940158
0.7095159,0.5902431,0.0229491,1.1971494
0.7111853,0.5903690,0.0261082,1.2003109
0.7128548,0.5904931,0.0292946,1.2034998
0.7145242,0.5906147,0.0325079,1.2067153
0.7161937,0.5907329,0.0357472,1.2099568
0.7178631,0.5908470,0.0390118,1.2132234
0.7195326,0.5909561,0.0423008,1.2165143
0.7212020,0.5910595,0.0456135,1.2198286
0.7228715,0.5911564,0.0489490,1.2231654
0.7245409,0.5912458,0.0523061,1.2265238
0.7262104,0.5913271,0.0556840,1.2299026
0.7278798,0.5913994,0.0590815,1.2333009
0.7295492,0.5914619,0.0624976,1.2367175
0.7312187,0.5915139,0.0659310,1.2401514
0.7328881,0.5915544,0.0693807,1.2436013
0.7345576,0.5915828,0.0728454,1.2470661
0.7362270,0.5915983,0.0763237,1.2505445
0.7378965,0.5916000,0.0798145,1.2540353
0.7395659,0.5915873,0.0833164,1.2575372
0.7412354,0.5915594,0.0868280,1.2610489
0.7429048,0.5915156,0.0903480,1.2645691
0.7445743,0.5914551,0.0938749,1.2680966
